timestamp,time_elapsed,ozone_pct,temperature_c,pressure_mbar,sample_v,ref_v
40:16.2,11:10.0,1.39,28.7,1025.1,0.966,0.73132
40:18.2,11:12.1,1.39,28.7,1025.2,0.96616,0.73183
40:20.3,11:14.1,1.38,28.7,1025.1,0.96632,0.73265
40:22.2,11:16.1,1.38,28.7,1025.1,0.96647,0.73312
40:24.3,11:18.1,1.38,28.7,1025.2,0.96663,0.73298
40:26.3,11:20.1,1.39,28.7,1024.9,0.96676,0.73231
40:28.2,11:22.0,1.39,28.8,1024.9,0.96692,0.7322
40:30.2,11:24.0,1.39,28.7,1024.9,0.96706,0.73249
40:32.3,11:26.1,1.39,28.7,1024.8,0.96721,0.73318
40:34.3,11:28.1,1.38,28.7,1024.9,0.96737,0.73345
40:36.2,11:30.0,1.38,28.8,1024.9,0.96751,0.7338
40:38.3,11:32.1,1.39,28.8,1025.1,0.96766,0.73329
40:40.3,11:34.1,1.39,28.7,1025.1,0.96782,0.73268
40:42.2,11:36.0,1.39,28.8,1024.9,0.96796,0.73267
40:44.3,11:38.1,1.39,28.8,1024.9,0.96812,0.73319
40:46.2,11:40.1,1.38,28.8,1025.1,0.96826,0.73437
40:48.3,11:42.1,1.37,28.8,1025.1,0.96841,0.73721
40:50.3,11:44.1,1.31,28.7,1024.9,0.96856,0.75032
40:52.4,11:46.2,1.28,28.8,1025.2,0.96872,0.75822
40:54.3,11:48.1,1.27,28.8,1024.9,0.96885,0.76067
40:56.3,11:50.2,1.27,28.8,1025.1,0.969,0.76
40:58.2,11:52.1,1.27,28.8,1025.2,0.96916,0.75998
41:00.2,11:54.0,1.27,28.8,1025.3,0.9693,0.75944
43:18.2,14:12.0,0.56,28.8,1025.1,0.97944,0.94718
43:20.2,14:14.0,0.55,28.8,1025.2,0.97958,0.94975
43:22.2,14:16.1,0.55,28.8,1024.9,0.97972,0.94941
43:24.2,14:18.0,0.55,28.8,1025.3,0.97988,0.95084
43:26.2,14:20.0,0.54,28.8,1025.2,0.98001,0.95484
43:28.3,14:22.2,0.53,28.8,1025.2,0.98014,0.95575
43:30.2,14:24.1,0.53,28.8,1025.1,0.98029,0.95668
43:32.3,14:26.1,0.53,28.8,1025.3,0.98044,0.95725
43:34.3,14:28.1,0.52,28.8,1025.1,0.98058,0.95928
43:36.2,14:30.0,0.52,28.8,1025.2,0.98073,0.95972
43:38.2,14:32.1,0.51,28.8,1025.3,0.98086,0.96216
43:40.2,14:34.0,0.5,28.8,1025.3,0.98102,0.96483
43:42.2,14:36.1,0.49,28.8,1025.2,0.98116,0.96771
43:44.2,14:38.1,0.49,28.8,1025.3,0.98131,0.96861
43:46.3,14:40.1,0.49,28.8,1025.2,0.98146,0.96797
43:48.3,14:42.1,0.5,28.8,1025.1,0.98158,0.96685
43:50.3,14:44.2,0.5,28.8,1025.5,0.98173,0.96685
43:52.4,14:46.2,0.48,28.8,1025.3,0.98187,0.97302
43:54.2,14:48.1,0.47,28.8,1025.2,0.98202,0.97524
43:56.2,14:50.0,0.47,28.8,1025.2,0.98217,0.97583
43:58.2,14:52.0,0.46,28.8,1025.5,0.98229,0.97717
44:00.4,14:54.3,0.46,28.8,1025.1,0.98244,0.97836
44:02.3,14:56.1,0.46,28.8,1025.3,0.98258,0.97831
44:04.2,14:58.1,0.45,28.8,1025.5,0.98273,0.98289
44:06.2,15:00.0,0.44,28.8,1025.3,0.98286,0.98425
44:08.2,15:02.1,0.44,28.8,1025.2,0.983,0.98604
44:10.2,15:04.0,0.43,28.8,1025.2,0.98316,0.98684
44:12.2,15:06.0,0.43,28.8,1025.3,0.98329,0.98757
44:14.2,15:08.0,0.43,28.8,1024.9,0.98342,0.98733
44:16.3,15:10.1,0.44,28.9,1025.1,0.98358,0.98643
44:18.3,15:12.2,0.42,28.8,1025.2,0.98373,0.99093
44:20.2,15:14.0,0.42,28.9,1025.1,0.98386,0.99247
44:22.2,15:16.1,0.42,28.9,1025.1,0.984,0.9933
44:24.3,15:18.1,0.41,28.9,1024.9,0.98414,0.99446
44:26.3,15:20.1,0.42,28.9,1025.1,0.98428,0.99338
44:28.2,15:22.0,0.42,28.9,1025.1,0.98442,0.99309
44:30.3,15:24.1,0.4,28.9,1025.2,0.98456,0.99884
44:32.3,15:26.2,0.39,28.9,1025.2,0.9847,1.00055
